neutral hinglish sentence,context,social_context,Possible Slangs,Slang Location,Multiple positions allowed?,Control tokens,function,output sentence
Match ka result disappointing tha.,Sports talk,Peer / Sad,"Bhai, yaar","START, END",Yes,[ASSERT_SADNESS],filler,Bhai match ka result disappointing tha yaar
Aaj class ka environment achha tha.,Academics,Peer / Casual,bhadiya,END,No,[ASSERT_POSITIVE],positive_eval,Aaj class ka environment bhadiya tha.
Usne message ka reply nahi diya.,Waiting response,Friend / Anxious,bhai,END,No,[ASSERT_ANXIETY],filler,Usne message ka reply nahi diya bhai
Yeh jagah kaafi achhi hai.,Travel,Peer / Casual,mast,END,No,[ASSERT_POSITIVE],positive_eval,Yeh jagah kaafi mast hai.
Main tumhari help nahi kar sakta.,Refusal,Peer / Tense,sorry yaar,START,Yes,[ASSERT_NEGATIVE],softener,"Sorry yaar, main tumhari help nahi kar sakta."
Class cancel ho gayi hai.,Announcement,Peer / Casual,scene set,END,No,[ASSERT_HAPPY],positive_eval,"Class cancel ho gayi hai, scene set hai"
Aaj gym ka workout achha tha.,Fitness,Peer / Casual,solid,END,No,[ASSERT_POSITIVE],positive_eval,Aaj gym ka workout solid tha.
Yeh decision thoda confusing hai.,Decision,Peer / Casual,Honestly,START,No,[ASSERT_CONFUSION],discourse_marker,"Honestly, yeh decision thoda confusing hai."
Boss ne meeting shift kar di.,Work update,Peer / Casual,bhai,END,No,[ASSERT_NEUTRAL],filler,Boss ne meeting shift kar di bhai
Phone ka battery low hai.,Device issue,Peer / Casual,yaar,END,No,[ASSERT_FRUSTRATION],filler,Phone ka battery low hai yaar
Assignment submit karna hai.,Academic reminder,Peer / Serious,Jaldi,START,No,[REQUEST_URGENCY],urgency_marker,Jaldi assignment submit karna hai
Yeh kaam thoda risky lag raha hai.,Warning,Peer / Serious,"Bhai, sambhal ke","START, END",Yes,[ASSERT_WARNING],filler + caution_marker,"Bhai yeh kaam thoda risky lag raha hai, sambhal ke"
Aaj mood off hai.,Emotional state,Peer / Sad,yaar,END,No,[ASSERT_SADNESS],filler,Aaj mood off hai yaar
Yeh kaam thoda exhausting hai.,Work,Peer / Tired,"Watt lag gayi, Scene tight",END,No,[ASSERT_STRESS],intensifier,Yeh kaam kaafi draining lag raha hai.
Tumne to kamaal kar diya.,Appreciation,Peer / Excited,Slay / Bohot hard,"START, END",Yes,[ASSERT_HAPPY],intensifier,"Slay yaar, tera performance bohot hard tha!"
Abhi kaam khatam karna padega.,Work stress,Peer / Urgent,scene tight hai,END,No,[REQUEST_URGENCY],intensifier,"Abhi kaam khatam karna padega, scene tight hai."
Mujhe samajh nahi aa raha.,Confusion,Peer / Tense,bhai,END,No,[ASSERT_CONFUSION],filler,Mujhe samajh nahi aa raha bhai
Aaj ka presentation achha gaya.,Work,Peer / Happy,faadu,END,No,[ASSERT_POSITIVE],positive_eval,Aaj ka presentation faadu gaya.
Aaj ka lecture boring tha.,Feedback,Peer / Casual,"Yaar, pakau","START, END",Yes,[ASSERT_NEGATIVE],negative_eval,"Yaar, aaj ka lecture toh pakau tha."
Yeh coffee strong hai.,Food review,Peer / Casual,kadak,END,No,[ASSERT_POSITIVE],positive_eval,Yeh coffee kaafi kadak hai.
Aaj ka match jeet gaye.,Sports,Peer / Happy,jhakaas,END,No,[ASSERT_HAPPY],positive_eval,Aaj ka match jhakaas jeete.
Usne sab gadbad kar di.,Blaming,Peer / Tense,kya raita failaya,"START, MIDDLE",Yes,[ASSERT_FRUSTRATION],idiom,"Kya raita failaya, usne sab gadbad kar di."
Bahar bahut dhoop hai.,Weather complaint,Friend / Casual,bhayankar,MIDDLE,No,[ASSERT_NEUTRAL],intensifier,Bahar bhayankar dhoop hai.
Tumne ye news suni?,Sharing info,Peer / Curious,kya scene hai,START,No,[REQUEST_NEUTRAL],info_opener,"Kya scene hai, tumne ye news suni?"
Kal ka scene thoda awkward tha.,Social,Peer / Casual,cringe,END,No,[ASSERT_NEGATIVE],negative_eval,Kal ka scene thoda cringe tha.
Party bahut acchi thi.,Event review,Friend / Social,jhakaas,END,No,[ASSERT_HAPPY],positive_eval,"Party bahut acchi thi, jhakaas!"
Ye shirt tum par suit karti hai.,Compliment,Friend / Close,ekdum,MIDDLE,No,[ASSERT_HAPPY],intensifier,Ye shirt tum par ekdum suit karti hai.
Mujhe ye baat samajh nahi aayi.,Confusion,Peer / Serious,funda clear,END,No,[EXPRESS_STRESS],lexical_insertion,"Mujhe ye baat samajh nahi aayi, funda clear nahi hai."
Tum hamesha late aate ho.,Criticism,Friend / Tense,kya bakwaas hai,START,No,[EXPRESS_STRESS],filler,"Kya bakwaas hai, tum hamesha late aate ho."
Main bas nikal hi raha hoon.,Leaving soon,Peer / Urgent,bas do minute,START,No,[REQUEST_URGENCY],att_grabber,"Bas do minute, main nikal hi raha hoon."
Abhi bahut mushkil hai,Work stress,Peer / Urgent,Watt lag gayi,"START, END",Yes,[ASSERT_FRUSTRATION],idiom,"Watt lag gayi bhai, abhi scene tight hai."
Mujhe ye samajh nahi aa raha.,Confusion,Friend / Serious,Funda,MIDDLE,No,[EXPRESS_STRESS],filler,Iska funda mujhe bikull samajh nahi aa raha.
Kal ka match interesting hoga.,Sports talk,Peer / Excited,full on,MIDDLE,No,[ASSERT_HAPPY],intensifier,Kal ka match full on interesting hoga
Tum darpok mat bano.,Encouragement,Friend / Casual,Fattu / Chill maar,"MIDDLE, END",Yes,[REQUEST_NEUTRAL],softener,"Zyada fattu mat ban, bas chill maar."
Traffic mein stuck ho gaya.,Delayed by traffic,Peer / Casual,kya yaar,START,No,[ASSERT_FRUSTRATION],filler,"kya yaar, traffic mein stuck ho gaya."
"Usne humko pakad liya, bohot daanta.",Caught by someone,Peer / Tense,"waat lagayi, yaar","MIDDLE, END",Yes,[EXPRESS_STRESS],intensifier,"usne humko pakad liya, waat lagayi yaar"
"Blue, woh calming hai.",Describing a color,Friend / Relaxed,ekdam,MIDDLE,No,[ASSERT_NEUTRAL],intensifier,"blue, woh ekdam calming hai."
"Kuch nahi, bas chinta hai.",Being worried,Peer / Personal,tension,MIDDLE,No,[EXPRESS_STRESS],lexical_insertion,"kuch nahi, bas tension hai"
"Kuch nahi, bas news dekh raha hoon.",Watching news,Friend / Casual,yaar,MIDDLE,No,[ASSERT_NEUTRAL],softener,"kuch nahi yaar, bas news dekh raha hoon."
Ek cup coffee lete hain?,Buying coffee,Peer / Social,chalo,START,No,[REQUEST_NEUTRAL],soft_opener,"chalo, ek cup coffee lete hain?"
"Nahin, bas ghar pe hi relax karna hai.",Staying home,Peer / Casual,yaar,MIDDLE,No,[ASSERT_NEUTRAL],softener,"nahin yaar, bas ghar pe hi relax karna hai."
"Exam achha nahi gaya, aapki tarah padhna hoga.",Failing a test,Peer / Sad,"bhai, bakwaas","START, MIDDLE",Yes,[EXPRESS_SADNESS],negative_eval,"bhai, bakwaas gaya, aapke jaise padhai karna padega."
Coffee toh chaiye?,Offering coffee,Friend / Casual,na,END,No,[REQUEST_NEUTRAL],question_tag,"coffee toh chaiye, na?"
Kya tumne wo naya gana suna?,New music,Peer / Curious,song,MIDDLE,No,[REQUEST_NEUTRAL],lexical_insertion,kya tumne wo naya song suna?
Tumhe office jaane mein kitna waqt lagta hai?,Commute time,Peer / Inquiry,tere liye,END,No,[REQUEST_NEUTRAL],informal_addr,kitna time lagta hai office jaane mein tere liye?
Mera phone wapas do.,Returning a phone,Peer / Urgent,arre woh,START,No,[REQUEST_URGENCY],att_grabber,"arre woh, mera phone wapas do"
Ye movie bohot achhi hai.,Reviewing a film,Peer / Happy,"bindaas, re","MIDDLE, END",Yes,[ASSERT_HAPPY],positive_eval,ye movie tho bindaas hai re
