neutral,output,control,function,positions,multi_allowed,social_context,context,slangs,source
Form sahi rakho warna injury hogi.,Form sahi rakho danda warna injury hogi.,ASSERT_WARNING,,,False,,,danda,groq_aug_v3_variant
Kya tum mere saath market chaloge?,"Kya tum mere saath market chaloge, baat khatam?",ASSERT_NEUTRAL,,,False,,,baat khatam,groq_aug_v3_variant
Notes share kar do.,Abhi notes share kar do.,REQUEST_URGENCY,,,False,,,Abhi,groq_aug_v3_variant
Coffee bahut strong hai,Coffee bindaas strong hai,ASSERT_HAPPY,,,False,,,bindaas,groq_aug_v3_variant
Mujhe yeh movie pasand aayi,Mujhe yeh movie bawaal pasand aayi,ASSERT_EXCITED,,,False,,,bawaal,groq_aug_v3_variant
Mujhe naya phone lena hai,"Mujhe naya phone lena hai, kya scene hai?",REQUEST_NEUTRAL,,,False,,,Kya scene hai,groq_aug_v3_variant
"Online gaming mein lag lag raha hai, mujhe kaafi pareshan kar raha hai.","Oye, online gaming mein lag lag raha hai, mujhe kaafi pareshan kar raha hai.",REQUEST_FRUSTRATION,,,False,,online gaming,Oye,groq_aug_v3_novel
System crash ho gaya,"System crash ho gaya, scene off hai.",ASSERT_FRUSTRATION,,,False,,,scene off hai,groq_aug_v3_variant
Station bahut door hai.,"Station bahut door hai, Dimaag ki dahi.",ASSERT_STRESS,,,False,,,Dimaag ki dahi,groq_aug_v3_variant
Aaj weather kaafi pleasant hai,"Aaj weather kaafi pleasant hai, Tod-phod!",ASSERT_POSITIVE,,,False,,,Tod-phod,groq_aug_v3_variant
Stock khatam ho gaya.,"Stock khatam ho gaya, scene off.",ASSERT_SADNESS,,,False,,,Scene off,groq_aug_v3_variant
Weekend ka plan kya hai,"Weekend ka plan kya hai, palti maarna?",REQUEST_NEUTRAL,,,False,,,Palti maarna,groq_aug_v3_variant
"Mera startup pitch bahut hi zabardast hai, team, let's crush it!","Mera startup pitch bahut hi zabardast kadak hai, team, let's crush it!",ASSERT_EXCITED,,,False,,startup pitch,kadak,groq_aug_v3_novel
Naya update install kar liya,"Sun, naya update install kar liya",INFO_STATEMENT,,,False,,,sun,groq_aug_v3_variant
Salary abhi tak nahi aayi.,"Salary abhi tak nahi aayi, yaar.",ASSERT_ANXIETY,,,False,,,Yaar,groq_aug_v3_variant
Main tumhari help kar dunga,"Main tumhari help kar dunga, paisa vasool",ASSERT_POSITIVE,,,False,,,Paisa vasool,groq_aug_v3_variant
Phone ka storage almost full ho gaya,"Phone ka storage almost full ho gaya, kalesh",ASSERT_FRUSTRATION,,,False,,,kalesh,groq_aug_v3_variant
Usne match mein aakhri ball par six maara.,Usne match mein aakhri ball par badiya six maara.,ASSERT_HAPPY,,,False,,,badiya,groq_aug_v3_variant
Nayi web series start ki,"Nayi web series start ki, bro.",INFO_STATEMENT,,,False,,,bro,groq_aug_v3_variant
Proxy laga dena meri.,Proxy laga dena meri na.,REQUEST_NEUTRAL,,,False,,,na,groq_aug_v3_variant
Market mein bahut bheed thi,"Market mein bahut kaand tha, bahut bheed thi",ASSERT_NEGATIVE,,,False,,,Kaand,groq_aug_v3_variant
"Chai break ka time aagaya, sab log excited hain!","Chai break ka time aagaya, sab log excited hain, abe!",ASSERT_EXCITED,,,False,,chai break,abe,groq_aug_v3_novel
Yeh naya mobile bahut fast chalta hai.,Yeh naya mobile kaam ka bahut fast chalta hai.,ASSERT_POSITIVE,,,False,,,kaam ka,groq_aug_v3_variant
Movie ka script structure achha tha.,Movie ka script structure bass achha tha.,ASSERT_POSITIVE,,,False,,,Bass,groq_aug_v3_variant
Assignment bahut lamba hai,Assignment ka load bahut lamba hai,ASSERT_ANXIETY,,,False,,,load,groq_aug_v3_variant
Party bahut mazedaar thi,Party tezz-tarrar bahut mazedaar thi,ASSERT_POSITIVE,,,False,,,tezz-tarrar,groq_aug_v3_variant
Office meeting mein sab log apni reports share karenge.,"Office meeting mein sab log apni reports share karenge, guru.",INFO_STATEMENT,,,False,,office meeting,guru,groq_aug_v3_novel
Mera dil khush nahi hai jab street food khatam ho jata hai.,"Mera dil khush nahi hai jab street food khatam ho jata hai, Kaand ho gaya.",ASSERT_SADNESS,,,False,,street food,Kaand ho gaya,groq_aug_v3_novel
Syllabus bahut zyada hai.,"Syllabus bahut zyada hai, body bol gayi.",ASSERT_STRESS,,,False,,,Body bol gayi,groq_aug_v3_variant
