neutral,output,control,function,positions,multi_allowed,social_context,context,slangs
Match ka result disappointing tha.,Bhai match ka result disappointing tha yaar,ASSERT_SADNESS,filler,START|END,True,Peer / Sad,Sports talk,Bhai|yaar
Aaj class ka environment achha tha.,Aaj class ka environment bhadiya tha.,ASSERT_POSITIVE,positive_eval,END,False,Peer / Casual,Academics,bhadiya
Usne message ka reply nahi diya.,Usne message ka reply nahi diya bhai,ASSERT_ANXIETY,filler,END,False,Friend / Anxious,Waiting response,bhai
Yeh jagah kaafi achhi hai.,Yeh jagah kaafi mast hai.,ASSERT_POSITIVE,positive_eval,END,False,Peer / Casual,Travel,mast
Main tumhari help nahi kar sakta.,"Sorry yaar, main tumhari help nahi kar sakta.",ASSERT_NEGATIVE,softener,START,True,Peer / Tense,Refusal,sorry yaar
Class cancel ho gayi hai.,"Class cancel ho gayi hai, scene set hai",ASSERT_HAPPY,positive_eval,END,False,Peer / Casual,Announcement,scene set
Aaj gym ka workout achha tha.,Aaj gym ka workout solid tha.,ASSERT_POSITIVE,positive_eval,END,False,Peer / Casual,Fitness,solid
Yeh decision thoda confusing hai.,"Honestly, yeh decision thoda confusing hai.",ASSERT_CONFUSION,discourse_marker,START,False,Peer / Casual,Decision,Honestly
Boss ne meeting shift kar di.,Boss ne meeting shift kar di bhai,ASSERT_NEUTRAL,filler,END,False,Peer / Casual,Work update,bhai
Phone ka battery low hai.,Phone ka battery low hai yaar,ASSERT_FRUSTRATION,filler,END,False,Peer / Casual,Device issue,yaar
Assignment submit karna hai.,Jaldi assignment submit karna hai,REQUEST_URGENCY,urgency_marker,START,False,Peer / Serious,Academic reminder,Jaldi
Yeh kaam thoda risky lag raha hai.,"Bhai yeh kaam thoda risky lag raha hai, sambhal ke",ASSERT_WARNING,filler,START|END,True,Peer / Serious,Warning,Bhai|sambhal ke
Aaj mood off hai.,Aaj mood off hai yaar,ASSERT_SADNESS,filler,END,False,Peer / Sad,Emotional state,yaar
Yeh kaam thoda exhausting hai.,Yeh kaam kaafi draining lag raha hai.,ASSERT_STRESS,intensifier,END,False,Peer / Tired,Work,Watt lag gayi|Scene tight
Tumne to kamaal kar diya.,"Slay yaar, tera performance bohot hard tha!",ASSERT_HAPPY,intensifier,START|END,True,Peer / Excited,Appreciation,Slay|Bohot hard
Abhi kaam khatam karna padega.,"Abhi kaam khatam karna padega, scene tight hai.",REQUEST_URGENCY,intensifier,END,False,Peer / Urgent,Work stress,scene tight hai
